采集日期,平台名称,成交额(万),综合利率,投资人(人),借款周期(月),借款人(人),满标速度(分钟),累计贷款余额(万),净资金流入(万)
2017/5/9,鑫合汇,65653.03,7.07%,14172,0.25,458,7.43,503897.76,2135.49
2017/5/9,微贷网,25988.12,7.55%,10561,3.06,3709,1.41,1520716.51,4687.74
2017/5/9,红岭创投,24823.66,6.95%,13286,1.06,2202,12.82,2162459.18,-21826.97
2017/5/9,团贷网,19418.76,8.12%,30407,2.29,1473,0.81,41230.56,1246.06
2017/5/9,陆金服,19213.18,8.28%,4738,32.17,2315,0,13131799.5,-2593.44
2017/5/9,小牛在线,10363.34,9.25%,5167,5.71,448,25.43,1121078.42,6336.56
2017/5/9,爱钱进,10077.72,10.30%,5266,32.11,2649,0.08,1745018.38,9345.8
2017/5/9,宜贷网,9080.47,10.44%,4215,5.53,1156,8.04,363350.48,2689.94
2017/5/9,你我贷,8818.4,10.28%,11488,13.9,27216,4.75,1653707.28,805.28
2017/5/9,PPmoney理财,8704.29,9.42%,8009,6.34,14046,0.32,1878622.32,3049.44
2017/5/9,恒易融,8444.25,12.37%,1401,32.88,1040,0.32,1437163.13,7559.1
2017/5/9,人人贷,8014.91,10.21%,26148,35.2,975,1.39,1967954.85,6571.94
2017/5/9,有利网,6520.28,9.85%,14468,17.8,7553,0.01,1362833.01,3280.12
2017/5/9,向上金服,6477.64,10.27%,0,2.37,48,0,1853841.12,6388.36
2017/5/9,民贷天下,6285.5,6.70%,1724,3.75,2049,113.03,243019.01,-45.46
2017/5/9,泰然金融,6161.04,8.30%,2609,2.11,9,913.29,182142.01,2223.01
2017/5/9,北京众信金融,6030.61,8.83%,696,7.66,19,118.39,365721,3162.81
2017/5/9,十六铺金融,5779,10%,536,0.72,17,63.72,77883.73,5552.71
2017/5/9,爱投资,5553.56,11.54%,3129,13.75,218,1490.55,936121.91,3354.12
2017/5/9,聚有财,5171.28,8.85%,192,21.44,47,896.15,354674.59,5381.61
2017/5/9,财富中国,4732.6,10.01%,1187,15.11,294,97.54,561667.7,4094.39
2017/5/9,金信网,4604.88,8.86%,719,7.23,251,144.88,696455.6,-56.74
2017/5/9,爱钱帮,4602.71,9.31%,1186,1.37,201,5.19,186102.08,2524.23
2017/5/9,首金网,4385,8.22%,573,2.92,32,73.25,212426.3,834.16
2017/5/9,小微金融,3950,11.78%,1252,3.65,5,105.43,177327.57,2088.65
2017/5/9,温商贷,3813.99,10.22%,2323,3.21,27,249.92,538187.21,580.55
2017/5/9,投哪网,3733.73,8.39%,18073,8.79,454,0.05,777165.21,321.02
2017/5/9,网利宝,3465.9,7.97%,1080,2.17,12,257.68,185117.5,2747.16
2017/5/9,小猪理财,3303.4,13.21%,1028,1,82,95.42,66564.12,1710.62
2017/5/9,诺诺镑客,3185.5,10.62%,6770,20.84,3506,0.37,681884.85,1608.94
2017/5/9,融金所,3125.48,12.22%,2444,10.74,171,29.49,226240.33,1476.73
2017/5/9,浙财理财,2856,8%,335,0.24,12,33.07,21109.31,46.96
2017/5/9,金联储,2730,10.14%,1300,2.31,23,340.86,191560.31,1114.06
2017/5/9,福银票号,2650.4,5.06%,203,1.4,16,270.5,176687.61,-127
2017/5/9,钱爸爸,2538.85,9%,719,0.99,15,4.61,104383.77,-1239.86
2017/5/9,91旺财,2273,7.52%,614,1.84,26,75.68,90248.74,-493.58
2017/5/9,付融宝,2262.89,10.70%,5772,7.94,32,118.83,232459.17,1674.32
2017/5/9,小诺理财,2172.17,7.80%,1763,4.08,141,1.38,410119.38,710.84
2017/5/9,钜宝盆,2171.02,8%,467,35.61,243,1.69,594952.76,1724.7
2017/5/9,淘淘金,2108,8.20%,0,7.32,14,0,108128.17,683.05
2017/5/9,连资贷,2084.98,8.48%,0,2.53,16,38.85,32237.64,2116.46
2017/5/9,易通贷,1991.38,12.25%,2229,5.17,19,148.29,284848.83,-402.62
2017/5/9,信用宝,1895.14,11.96%,2,1,2,876.59,132346.59,68.18
2017/5/9,招商贷,1810,10.53%,888,3.66,19,1518.67,153891.84,293.34
2017/5/9,金投行,1781.98,6.31%,9,7.56,51,469,111355.08,1825.68
2017/5/9,汇盈金服,1780,10.02%,484,3.89,21,638.06,224446.41,340.78
2017/5/9,和信贷,1763.72,12.12%,974,0.31,27,260.85,256861.51,-231.41
2017/5/9,好贷宝,1755.1,10.67%,71,1.97,33,15.89,161675.29,0
2017/5/9,微金所,1679.24,9.08%,0,5.76,16,0,65634.56,0
2017/5/9,合时代,1669.84,11.24%,801,3.35,91,165.99,195302.9,-101.58
2017/5/9,小九金服,1611.7,9.10%,107,1.33,257,37.32,40232.69,1377.56
2017/5/9,365易贷,1531.99,9.94%,1960,5.15,128,37.3,112517.67,7.1
2017/5/9,钱多多,1500,13.20%,601,6,3,506.48,249911.16,920.9
2017/5/9,元宝365,1461.59,9.35%,687,0.67,205,69.07,50544.58,53.34
2017/5/9,广信贷,1450.91,12.49%,1027,13.59,92,0,139299.35,210.12
2017/5/9,铜掌柜,1450,6.71%,76,6.86,10,309.38,182241.95,1495.13
2017/5/9,博金贷,1443.87,7.01%,409,2.26,55,394.32,632871.53,720.42
2017/5/9,国金宝,1400,8.71%,0,4.14,4,1080.43,126706.62,422.25
2017/5/9,新升贷,1397.18,11.96%,72,2.45,216,0,52661.76,504.11
2017/5/9,汇理财,1378.7,6.34%,257,2.9,3,686.56,174878.01,522.24
2017/5/9,翼龙贷,1363.44,8.52%,0,8.85,174,0,2592519.69,-5008.36
2017/5/9,共信赢,1359.6,12.05%,145,7.12,1,1604.97,400985.22,464.01
2017/5/9,新联在线,1336.76,8.97%,172,0.45,14,219.06,308984.83,168
2017/5/9,银豆网,1300,13%,305,12.64,45,11.46,242240.46,1478.06
2017/5/9,中业兴融,1250,9.84%,349,3.28,25,658.88,171281.78,-268.72
2017/5/9,理想宝,1160,10.15%,654,3.35,18,173.95,124932.19,701.08
2017/5/9,九斗鱼,1126,10.35%,302,1.84,7,973.45,54393.97,856.25
2017/5/9,财路通,1114.5,7%,115,1,73,63.62,34238.74,591.35
2017/5/9,投融家,1075.38,9.01%,0,4.09,84,0,114974,35.73
2017/5/9,图腾贷,1050.49,13.78%,1191,12.15,193,7.48,61193.07,553.18
2017/5/9,华人金融,1048.56,9.81%,532,6.19,6,801.64,188058.27,-978.5
2017/5/9,人人聚财,1047.12,9.86%,11077,8.48,151,14.1,296554.28,-826.42
2017/5/9,爱本地,1044.05,9.19%,231,0.22,161,1.48,3489.23,211.37
2017/5/9,欢乐合家,1024.5,8.93%,517,6.74,20,849.13,141868.57,-37.53
2017/5/9,拓道金服,1013.64,11.28%,664,7.18,159,20.62,55533.08,887.17
2017/5/9,地标金融,1010,10.05%,289,1,2,315.62,41109.94,-506.58
2017/5/9,温州贷,975.94,9.65%,506,2.13,51,67.26,33449.39,309.23
2017/5/9,企额贷,967,11.51%,57,1.93,5,1127.21,31629.14,980.24
2017/5/9,道口贷,955.98,8.66%,471,3.99,11,3.75,106092.77,95.43
2017/5/9,一起好,952.42,12.79%,1606,9.6,2385,2.67,109048.35,493.11
2017/5/9,多多理财,933.97,12.99%,1905,4.51,94,170.42,71036.27,-130.77
2017/5/9,钱保姆,927.5,10.29%,40,1.49,23,344.63,48097.5,444.94
2017/5/9,迷你贷,921.7,11%,307,1.66,23,17.68,38319.12,359.84
2017/5/9,祺天优贷,893.47,10.07%,586,2.33,13,1288.56,48632.47,252.71
2017/5/9,钱盆网,845.18,14.36%,537,6.37,33,0,82852.01,540.31
2017/5/9,互融宝,840,10%,385,3.67,8,556.83,102027.82,-161.54
2017/5/9,冠e通,839.8,9.93%,360,9.39,11,8.1,588586.11,-5477.07
2017/5/9,光大分利宝,829.49,7.74%,272,0.71,6444,4.17,55333.95,-679.09
2017/5/9,利民网,822.54,10.01%,834,3.7,58,196.23,49945.62,472.52
2017/5/9,隆金宝,796.37,8.14%,23,6.19,1,245.24,199760.58,0
2017/5/9,58红利,792.2,9.76%,35,11.27,16,790.92,8543.89,861.75
2017/5/9,华赢贷,784.1,13.21%,67,2.91,9,112.45,55037.58,0
2017/5/9,金银猫,782.14,7.06%,533,3.02,26,647.31,168076.63,-526.67
2017/5/9,链链金融,764.8,6%,163,2.11,52,1.7,11795.22,423.93
2017/5/9,普资华企,759,10.29%,499,5.54,4,361.14,69505.62,475.83
2017/5/9,知商金融,730.96,6.95%,180,1.56,37,480.89,48035.93,-1991.94
2017/5/9,石投金融,723.9,7.60%,204,3.24,96,57.68,91308.8,-732.54
2017/5/9,融租E投,715.4,7.90%,77,4.68,20,962.81,43671.46,649.82
2017/5/9,乐居财富,712,14.58%,667,5.94,22,22.65,77229.58,264.03
2017/5/9,聚车金融,705.63,11.86%,111,0.94,39,47.13,14413.51,245.71
2017/5/9,金开贷,690,7.74%,150,8.09,5,1.56,75169.11,468.03
2017/5/9,杉易贷,671.82,8.45%,78,9.66,20,423.11,20626.94,236.53
2017/5/9,可溯金融,668.71,9.01%,1151,2.74,117,21.23,57166.29,40.18
2017/5/9,大麦理财,667,9.87%,212,7.49,5,894.39,73274.48,22.86
2017/5/9,理财范,639.59,9.22%,366,6.88,10,274.49,297784.97,47.54
2017/5/9,好好理财,625,13.51%,202,8.45,9,1007.14,49798.24,532.21
2017/5/9,安捷财富,621,12.16%,1379,7.73,11,1232.98,186358.18,301.93
2017/5/9,粤商贷,617.27,11.53%,300,2.81,13,392,26500.54,-825.74
2017/5/9,金盈所,615.88,9.25%,159,6.18,5,271.87,82512.24,632.45
2017/5/9,中广核富盈,615.65,7.78%,59,9.5,35,7.86,52966.04,462.4
2017/5/9,易港金融,612.69,9.48%,149,1.99,61,12.44,31165.52,278.66
2017/5/9,信和大金融,611.15,8.66%,261,10.2,89,0,928761.91,-4440.36
2017/5/9,乐享宝,595.99,9.15%,529,4.91,53,179.85,37984.37,559.43
2017/5/9,宜聚网,595.24,10.79%,338,2.62,35,182.24,73846.94,166.12
2017/5/9,信融财富,581.02,12.74%,1430,9.35,704,21.63,284721.01,316.3
2017/5/9,银客网,552.27,9.33%,358,10.21,18,283.4,91345.85,-713.88
2017/5/9,联连理财,551.65,10.87%,821,1.96,337,170.04,28549.17,-151.09
2017/5/9,万盈金融,551.28,12.02%,335,10.89,28,263.02,103809.07,377.88
2017/5/9,日日昌,550.52,8%,128,4.45,6,280.62,42180.12,201.8
2017/5/9,票票喵,535.81,10.84%,0,2.88,2,0,17849.15,421.4
2017/5/9,鱼猫金服,535.1,9.81%,21,2.01,7,4.76,4195.59,460.21
2017/5/9,口袋理财,526.89,8.91%,17868,8.26,382,17.83,403395.16,-918.22
2017/5/9,礼德财富,521,11.94%,467,4.82,8,372.54,95866.35,-129.88
2017/5/9,花果金融,520,8.58%,134,4.12,17,349.54,46655.96,224.03
2017/5/9,两只老虎,511.13,8.23%,560,1.59,4,193.75,68738.24,340.64
2017/5/9,农泰金融,504.8,7.50%,544,2.66,20,32,79029.1,-321.4
2017/5/9,珠宝平安贷,502,9.96%,7,2.96,8,96.25,3775.7,225.09
2017/5/9,短融网,495.78,9.65%,1244,4.64,40,644.7,70464.04,199.17
